,day_counter,0,1,2,3,4,5,6,7
2010-10-10,282,92,7,,,,,,
2010-10-11,283,92,7,,,,,,
2010-10-12,284,92,7,,,,,,
2010-10-13,285,92,7,,,,,,
2010-10-14,286,92,9,,,,,,
2010-10-15,287,92,9,,,,,,
2010-10-16,288,92,9,,,,,,
2010-10-17,289,92,9,,,,,,
2010-10-18,290,92,9,,,,,,
2010-10-19,291,91,9,,,,,,
2010-10-20,292,90,9,,,,,,
2010-10-21,293,91,9,,,,,,
2010-10-22,294,91,9,,,,,,
2010-10-23,295,91,9,,,,,,
2010-10-24,296,91,9,,,,,,
2010-10-25,297,90,9,,,,,,
2010-10-26,298,90,9,,,,,,
2010-10-27,299,91,9,,,,,,
2010-10-28,300,92,9,,,,,,
2010-10-29,301,93,9,,,,,,
2010-10-30,302,94,9,,,,,,
2010-10-31,303,94,9,,,,,,
2010-11-01,304,95,9,,,,,,
2010-11-02,305,97,9,,,,,,
2010-11-03,306,98,9,,,,,,
2010-11-04,307,100,9,,,,,,
2010-11-05,308,100,9,,,,,,
2010-11-06,309,99,11,,,,,,
2010-11-07,310,99,11,,,,,,
2010-11-08,311,99,11,,,,,,
2010-11-09,312,99,11,,,,,,
2010-11-10,313,100,11,,,,,,
2010-11-11,314,99,11,,,,,,
2010-11-12,315,99,11,,,,,,
2010-11-13,316,99,11,,,,,,
2010-11-14,317,99,11,,,,,,
2010-11-15,318,101,9,,,,,,
2010-11-16,319,100,9,,,,,,
2010-11-17,320,101,9,,,,,,
2010-11-18,321,101,9,,,,,,
2010-11-19,322,101,9,,,,,,
2010-11-20,323,101,9,,,,,,
2010-11-21,324,101,9,,,,,,
2010-11-22,325,101,9,,,,,,
2010-11-23,326,102,9,,,,,,
2010-11-24,327,103,9,,,,,,
2010-11-25,328,104,9,,,,,,
2010-11-26,329,104,9,,,,,,
2010-11-27,330,104,9,,,,,,
2010-11-28,331,103,9,,,,,,
2010-11-29,332,103,9,,,,,,
2010-11-30,333,105,9,,,,,,
2010-12-01,334,105,9,,,,,,
2010-12-02,335,105,9,,,,,,
2010-12-03,336,105,9,,,,,,
2010-12-04,337,105,9,,,,,,
2010-12-05,338,105,11,,,,,,
2010-12-06,339,105,11,,,,,,
2010-12-07,340,103,11,,,,,,
2010-12-08,341,103,11,,,,,,
2010-12-09,342,103,11,,,,,,
2010-12-10,343,103,11,,,,,,
2010-12-11,344,103,11,,,,,,
2010-12-12,345,102,11,,,,,,
2010-12-13,346,103,11,,,,,,
2010-12-14,347,103,11,,,,,,
2010-12-15,348,104,11,,,,,,
2010-12-16,349,104,11,,,,,,
2010-12-17,350,105,11,,,,,,
2010-12-18,351,105,11,,,,,,
2010-12-19,352,105,11,,,,,,
2010-12-20,353,103,11,,,,,,
2010-12-21,354,103,11,,,,,,
2010-12-22,355,103,11,,,,,,
2010-12-23,356,103,11,,,,,,
2010-12-24,357,103,11,,,,,,
2010-12-25,358,104,11,,,,,,
2010-12-26,359,105,11,,,,,,
2010-12-27,360,105,11,,,,,,
2010-12-28,361,105,11,,,,,,
2010-12-29,362,105,11,,,,,,
2010-12-30,363,105,11,,,,,,
2010-12-31,364,105,11,,,,,,
2011-01-01,365,105,11,,,,,,
2011-01-02,366,105,11,,,,,,
2011-01-03,367,107,11,,,,,,
2011-01-04,368,107,11,,,,,,
2011-01-05,369,107,11,,,,,,
2011-01-06,370,107,11,,,,,,
2011-01-07,371,107,11,,,,,,
2011-01-08,372,108,11,,,,,,
2011-01-09,373,108,11,,,,,,
2011-01-10,374,108,11,,,,,,
2011-01-11,375,106,11,,,,,,
2011-01-12,376,108,11,,,,,,
2011-01-13,377,109,11,,,,,,
2011-01-14,378,110,11,,,,,,
2011-01-15,379,110,11,,,,,,
2011-01-16,380,110,11,,,,,,
2011-01-17,381,110,11,,,,,,
2011-01-18,382,110,11,,,,,,
2011-01-19,383,111,11,,,,,,
2011-01-20,384,112,11,,,,,,
2011-01-21,385,112,11,,,,,,
2011-01-22,386,112,11,,,,,,
2011-01-23,387,112,11,,,,,,
2011-01-24,388,110,11,,,,,,
2011-01-25,389,110,11,,,,,,
2011-01-26,390,110,11,,,,,,
2011-01-27,391,109,13,,,,,,
2011-01-28,392,110,13,,,,,,
2011-01-29,393,110,13,,,,,,
2011-01-30,394,110,13,,,,,,
2011-01-31,395,110,13,,,,,,
2011-02-01,396,111,13,,,,,,
2011-02-02,397,113,13,,,,,,
2011-02-03,398,113,13,,,,,,
2011-02-04,399,114,13,,,,,,
2011-02-05,400,114,13,,,,,,
