,day_counter,0,1,2,3,4,5,6
2010-12-02,335,78,4,,,,,
2010-12-03,336,78,4,,,,,
2010-12-04,337,78,4,,,,,
2010-12-05,338,77,6,,,,,
2010-12-06,339,77,6,,,,,
2010-12-07,340,76,6,,,,,
2010-12-08,341,76,6,,,,,
2010-12-09,342,76,6,,,,,
2010-12-10,343,76,6,,,,,
2010-12-11,344,76,6,,,,,
2010-12-12,345,75,6,,,,,
2010-12-13,346,76,6,,,,,
2010-12-14,347,76,6,,,,,
2010-12-15,348,77,6,,,,,
2010-12-16,349,76,6,,,,,
2010-12-17,350,74,6,,,,,
2010-12-18,351,74,6,,,,,
2010-12-19,352,74,6,,,,,
2010-12-20,353,73,6,,,,,
2010-12-21,354,73,6,,,,,
2010-12-22,355,73,6,,,,,
2010-12-23,356,73,6,,,,,
2010-12-24,357,72,6,,,,,
2010-12-25,358,73,6,,,,,
2010-12-26,359,74,6,,,,,
2010-12-27,360,75,6,,,,,
2010-12-28,361,76,6,,,,,
2010-12-29,362,76,6,,,,,
2010-12-30,363,77,6,,,,,
2010-12-31,364,77,6,,,,,
2011-01-01,365,77,6,,,,,
2011-01-02,366,75,6,,,,,
2011-01-03,367,74,6,,,,,
2011-01-04,368,75,6,,,,,
2011-01-05,369,74,6,,,,,
2011-01-06,370,75,6,,,,,
2011-01-07,371,75,6,,,,,
2011-01-08,372,75,6,,,,,
2011-01-09,373,75,6,,,,,
2011-01-10,374,74,6,,,,,
2011-01-11,375,74,6,,,,,
2011-01-12,376,75,6,,,,,
2011-01-13,377,76,6,,,,,
2011-01-14,378,77,6,,,,,
2011-01-15,379,77,6,,,,,
2011-01-16,380,77,6,,,,,
2011-01-17,381,77,6,,,,,
2011-01-18,382,77,6,,,,,
2011-01-19,383,77,4,,,,,
2011-01-20,384,78,4,,,,,
2011-01-21,385,78,4,,,,,
2011-01-22,386,78,4,,,,,
2011-01-23,387,78,4,,,,,
2011-01-24,388,78,4,,,,,
2011-01-25,389,78,4,,,,,
2011-01-26,390,77,4,,,,,
2011-01-27,391,77,4,,,,,
2011-01-28,392,78,4,,,,,
2011-01-29,393,78,4,,,,,
2011-01-30,394,78,4,,,,,
2011-01-31,395,79,2,,,,,
2011-02-01,396,80,2,,,,,
2011-02-02,397,81,2,,,,,
2011-02-03,398,79,2,,,,,
