,day_counter,0,1,2,3,4,5,6,7
2010-09-14,256,61,7,,,,,,
2010-09-15,257,62,7,,,,,,
2010-09-16,258,63,7,,,,,,
2010-09-17,259,64,7,,,,,,
2010-09-18,260,64,7,,,,,,
2010-09-19,261,64,7,,,,,,
2010-09-20,262,66,7,,,,,,
2010-09-21,263,66,7,,,,,,
2010-09-22,264,64,7,,,,,,
2010-09-23,265,64,7,,,,,,
2010-09-24,266,66,7,,,,,,
2010-09-25,267,65,9,,,,,,
2010-09-26,268,65,9,,,,,,
2010-09-27,269,65,9,,,,,,
2010-09-28,270,65,9,,,,,,
2010-09-29,271,65,9,,,,,,
2010-09-30,272,65,9,,,,,,
2010-10-01,273,66,9,,,,,,
2010-10-02,274,66,9,,,,,,
2010-10-03,275,67,9,,,,,,
2010-10-04,276,68,9,,,,,,
2010-10-05,277,69,9,,,,,,
2010-10-06,278,70,9,,,,,,
2010-10-07,279,70,9,,,,,,
2010-10-08,280,69,9,,,,,,
2010-10-09,281,70,9,,,,,,
2010-10-10,282,70,9,,,,,,
2010-10-11,283,71,9,,,,,,
2010-10-12,284,71,9,,,,,,
2010-10-13,285,72,9,,,,,,
2010-10-14,286,74,9,,,,,,
2010-10-15,287,74,9,,,,,,
2010-10-16,288,74,9,,,,,,
2010-10-17,289,74,9,,,,,,
2010-10-18,290,74,9,,,,,,
2010-10-19,291,75,7,,,,,,
2010-10-20,292,74,7,,,,,,
2010-10-21,293,75,7,,,,,,
2010-10-22,294,75,7,,,,,,
2010-10-23,295,75,7,,,,,,
2010-10-24,296,75,7,,,,,,
2010-10-25,297,76,7,,,,,,
2010-10-26,298,76,7,,,,,,
2010-10-27,299,77,7,,,,,,
2010-10-28,300,78,7,,,,,,
2010-10-29,301,79,7,,,,,,
2010-10-30,302,80,7,,,,,,
2010-10-31,303,80,7,,,,,,
2010-11-01,304,81,7,,,,,,
2010-11-02,305,83,7,,,,,,
2010-11-03,306,84,7,,,,,,
2010-11-04,307,84,7,,,,,,
