,day_counter,0,1,2,3,4,5
2011-02-10,40,16,2,,,,
2011-02-11,41,16,2,,,,
2011-02-12,42,17,2,,,,
2011-02-13,43,18,2,,,,
2011-02-14,44,18,2,,,,
2011-02-15,45,18,2,,,,
2011-02-16,46,18,2,,,,
2011-02-17,47,19,2,,,,
2011-02-18,48,19,2,,,,
2011-02-19,49,20,2,,,,
2011-02-20,50,20,2,,,,
2011-02-21,51,20,2,,,,
2011-02-22,52,21,2,,,,
2011-02-23,53,22,2,,,,
2011-02-24,54,24,2,,,,
2011-02-25,55,24,2,,,,
2011-02-26,56,25,2,,,,
2011-02-27,57,25,2,,,,
2011-02-28,58,25,2,,,,
2011-03-01,59,25,2,,,,
2011-03-02,60,25,2,,,,
2011-03-03,61,25,2,,,,
2011-03-04,62,26,4,,,,
2011-03-05,63,26,4,,,,
2011-03-06,64,28,4,,,,
2011-03-07,65,28,4,,,,
2011-03-08,66,28,4,,,,
2011-03-09,67,29,4,,,,
2011-03-10,68,29,4,,,,
2011-03-11,69,28,4,,,,
2011-03-12,70,29,4,,,,
2011-03-13,71,29,4,,,,
2011-03-14,72,31,4,,,,
2011-03-15,73,31,4,,,,
2011-03-16,74,30,5,,,,
2011-03-17,75,30,5,,,,
2011-03-18,76,31,5,,,,
2011-03-19,77,31,5,,,,
2011-03-20,78,31,5,,,,
2011-03-21,79,32,5,,,,
2011-03-22,80,32,5,,,,
2011-03-23,81,32,5,,,,
2011-03-24,82,34,5,,,,
2011-03-25,83,34,5,,,,
2011-03-26,84,34,5,,,,
2011-03-27,85,36,5,,,,
2011-03-28,86,35,5,,,,
2011-03-29,87,37,5,,,,
2011-03-30,88,39,5,,,,
2011-03-31,89,40,5,,,,
2011-04-01,,,,,,,
2011-04-02,,,,,,,
2011-04-03,,,,,,,
2011-04-04,,,,,,,
2011-04-05,4,1,,,,,
2011-04-06,5,1,,,,,
2011-04-07,6,1,,,,,
2011-04-08,7,1,,,,,
2011-04-09,8,1,,,,,
2011-04-10,9,2,,,,,
2011-04-11,10,3,,,,,
2011-04-12,11,4,,,,,
2011-04-13,12,4,,,,,
2011-04-14,13,4,,,,,
2011-04-15,14,5,,,,,
2011-04-16,15,5,,,,,
2011-04-17,16,5,,,,,
2011-04-18,17,5,,,,,
2011-04-19,18,5,,,,,
2011-04-20,19,5,,,,,
2011-04-21,20,5,,,,,
2011-04-22,21,5,,,,,
2011-04-23,22,5,,,,,
2011-04-24,23,5,,,,,
2011-04-25,24,6,2,,,,
2011-04-26,25,6,2,,,,
2011-04-27,26,5,4,,,,
2011-04-28,27,6,4,,,,
2011-04-29,28,8,4,,,,
2011-04-30,29,8,4,,,,
2011-05-01,30,8,4,,,,
2011-05-02,31,9,4,,,,
2011-05-03,32,10,4,,,,
2011-05-04,33,11,4,,,,
2011-05-05,34,13,4,,,,
2011-05-06,35,14,4,,,,
2011-05-07,36,16,4,,,,
2011-05-08,37,16,4,,,,
2011-05-09,38,16,4,,,,
2011-05-10,39,17,4,,,,
2011-05-11,40,21,4,,,,
2011-05-12,41,21,4,,,,
2011-05-13,42,21,4,,,,
2011-05-14,43,21,4,,,,
2011-05-15,44,21,4,,,,
2011-05-16,45,23,4,,,,
2011-05-17,46,23,4,,,,
2011-05-18,47,23,4,,,,
2011-05-19,48,23,4,,,,
2011-05-20,49,22,6,,,,
2011-05-21,50,22,6,,,,
2011-05-22,51,23,6,,,,
2011-05-23,52,22,8,,,,
2011-05-24,53,23,9,,,,
2011-05-25,54,23,9,,,,
2011-05-26,55,23,9,,,,
2011-05-27,56,23,9,,,,
2011-05-28,57,23,9,,,,
2011-05-29,58,23,9,,,,
2011-05-30,59,24,9,,,,
2011-05-31,60,24,9,,,,
2011-06-01,61,24,9,,,,
2011-06-02,62,24,8,,,,
2011-06-03,63,25,6,,,,
2011-06-04,64,25,6,,,,
2011-06-05,65,25,6,,,,
2011-06-06,66,26,5,,,,
2011-06-07,67,27,5,,,,
2011-06-08,68,27,5,,,,
2011-06-09,69,28,5,,,,
2011-06-10,70,29,5,,,,
2011-06-11,71,29,5,,,,
2011-06-12,72,29,5,,,,
2011-06-13,73,29,5,,,,
2011-06-14,74,29,5,,,,
2011-06-15,75,30,5,,,,
2011-06-16,76,31,5,,,,
2011-06-17,77,31,5,,,,
2011-06-18,78,32,5,,,,
2011-06-19,79,32,5,,,,
2011-06-20,80,33,5,,,,
2011-06-21,81,35,5,,,,
2011-06-22,82,35,5,,,,
2011-06-23,83,35,5,,,,
2011-06-24,84,35,5,,,,
2011-06-25,85,36,5,,,,
2011-06-26,86,36,5,,,,
2011-06-27,87,36,5,,,,
2011-06-28,88,38,5,,,,
2011-06-29,89,39,5,,,,
2011-06-30,90,39,5,,,,
2011-07-01,,,,,,,
2011-07-02,1,1,,,,,
2011-07-03,,,,,,,
2011-07-04,,,,,,,
2011-07-05,,,,,,,
2011-07-06,,,,,,,
2011-07-07,,,,,,,
2011-07-08,,,,,,,
2011-07-09,,,,,,,
2011-07-10,,,,,,,
2011-07-11,,,,,,,
2011-07-12,,,,,,,
2011-07-13,12,1,,,,,
2011-07-14,13,1,,,,,
2011-07-15,14,2,,,,,
2011-07-16,15,4,,,,,
2011-07-17,16,4,,,,,
2011-07-18,17,5,,,,,
2011-07-19,18,7,,,,,
2011-07-20,19,7,,,,,
2011-07-21,20,7,,,,,
2011-07-22,21,7,,,,,
2011-07-23,22,7,,,,,
2011-07-24,23,8,,,,,
2011-07-25,24,8,,,,,
2011-07-26,25,9,,,,,
2011-07-27,26,9,,,,,
2011-07-28,27,9,,,,,
2011-07-29,28,10,,,,,
2011-07-30,29,10,,,,,
2011-07-31,30,10,,,,,
2011-08-01,31,10,,,,,
2011-08-02,32,10,,,,,
2011-08-03,33,11,,,,,
2011-08-04,34,11,,,,,
2011-08-05,35,11,,,,,
2011-08-06,36,11,,,,,
2011-08-07,37,11,,,,,
2011-08-08,38,11,,,,,
2011-08-09,39,11,,,,,
2011-08-10,40,11,,,,,
2011-08-11,41,10,,,,,
2011-08-12,42,10,,,,,
2011-08-13,43,10,,,,,
2011-08-14,44,10,,,,,
2011-08-15,45,10,,,,,
2011-08-16,46,9,,,,,
2011-08-17,47,10,,,,,
2011-08-18,48,10,,,,,
2011-08-19,49,10,2,,,,
2011-08-20,50,10,2,,,,
2011-08-21,51,12,2,,,,
2011-08-22,52,12,2,,,,
2011-08-23,53,12,2,,,,
2011-08-24,54,14,2,,,,
2011-08-25,55,14,2,,,,
2011-08-26,56,16,2,,,,
2011-08-27,57,18,2,,,,
2011-08-28,58,18,2,,,,
2011-08-29,59,19,2,,,,
2011-08-30,60,20,2,,,,
2011-08-31,61,19,2,,,,
2011-09-01,62,18,2,,,,
2011-09-02,63,18,2,,,,
2011-09-03,64,18,2,,,,
2011-09-04,65,19,2,,,,
2011-09-05,66,19,2,,,,
2011-09-06,67,19,2,,,,
2011-09-07,68,19,2,,,,
2011-09-08,69,19,2,,,,
2011-09-09,70,20,2,,,,
2011-09-10,71,21,2,,,,
2011-09-11,72,22,2,,,,
2011-09-12,73,22,2,,,,
2011-09-13,74,22,2,,,,
2011-09-14,75,23,2,,,,
2011-09-15,76,23,2,,,,
2011-09-16,77,23,2,,,,
2011-09-17,78,23,2,,,,
2011-09-18,79,23,2,,,,
2011-09-19,80,23,2,,,,
2011-09-20,81,25,2,,,,
